Name,Size,Type,Tag,Alignment,Fly/Hover/Swim,CR,Source book,Source page,Spell user,Legendary actions,Lair actions,Abilities,Actions,Reaction,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other,,Credits
Kobold,Small,Humanoid,Kobold,Lawful evil,,1/8,MM,195,n,n,n,,,,x,x,x,,,x,x,x,x,,x,,,
Kobold Alchemist,Small,Humanoid,Kobold,Lawful neutral,,2,ToB,261,n,n,n,,,,,,,,,,,,,,,,,
Kobold Bully,Small,Humanoid,Kobold,Lawful evil,,1,MaDC,101,n,n,n,,,,ø,ø,ø,,,ø,ø,ø,ø,,ø,,,
Kobold Bully,Small,Humanoid,Kobold,Lawful evil,,1/2,MaDC,101,n,n,n,,,,ø,ø,ø,,,ø,ø,ø,ø,,ø,,,
Kobold Chieftain,Small,Humanoid,Kobold,Lawful evil,,4,ToB,263,n,n,n,,,,,,,,,,,,,,,,,
Kobold Dragonshield,Small,Humanoid,Kobold,Lawful evil,,1,VGtM,165,n,n,n,,,,,,,x,,x,x,,x,,,,,
Kobold Hero,Small,Humanoid,Kobold,Lawful evil,,4,MaDC,102,n,n,n,,,,ø,ø,ø,,,ø,ø,ø,ø,,ø,,,
Kobold Inventer,Small,Humanoid,Kobold,Lawful evil,,1/4,ToA,226,n,n,n,,,,,,,,,,,,,,,,,
Kobold Inventor,Small,Humanoid,Kobold,Lawful evil,,1/4,VGtM,166,n,n,n,,,,,,,x,,x,x,,x,,x,,,
Kobold Scale Sorcerer,Small,Humanoid,Kobold,Lawful evil,,1,ToA,226,n,n,n,,,,,,,,,,,,,,,,,
Kobold Scale Sorcerer,Small,Humanoid,Kobold,Lawful evil,,1,VGtM,167,y,n,n,,,,,,,x,,x,x,,x,,x,,,
Kobold Shaman,Small,Humanoid,Kobold,Lawful evil,,2,MaDC,103,y,n,n,,,,ø,ø,ø,,,ø,ø,ø,ø,,ø,,,
Kobold Soldier,Small,Humanoid,Kobold,Lawful evil,,1/4,MaDC,103,n,n,n,,,,ø,ø,ø,,,ø,ø,ø,ø,,ø,,,
Kobold Trapsmith,Small,Humanoid,Kobold,Lawful neutral,,1,ToB,264,n,n,n,,,,,,,,,,,,,,,,,
"Kokabel, Angel of the Stars",Huge,Celestial,,Chaotic good,,23,MaDC,104,n,y,n,,,,,,,,,,,,,,,ø,,
Kongamato,Large,Beast,,Unaligned,,5,ToB,265,n,n,n,,,,,ø,,,,,,,,,,,,
Koralk (Harvester Devil),Large,Fiend,Devil,Lawful evil,,11,ToB,108,n,n,n,,,,,,,,,,,,,,,ø,,
Korred,Small,Fey,,Chaotic neutral,,1,FEF,158,y,n,n,,,,,,,x,,x,,,,,,,,
Korred,Small,Fey,,Chaotic neutral,,7,VGtM,168,y,n,n,,,,,,,x,,,,,,,,,,
Korrigan,Small,Fey,,Chaotic neutral,,3,CC,242,n,n,n,,,,,,,,,,,,,,,,,
Koschei,Medium,Fiend,,Neutral evil,,17,ToB,266,y,y,y,,,,,,,,,,,,,,,ø,,
Kot Bayun,Medium,Monstrosity,,Neutral,,2,ToB,268,y,n,n,,,,,,,ø,,,,,,,,,,
"Kozilek, the Butcher of Truth",Colossal,Aberration,Titan,Chaotic evil,,30,MaDC,105,y,y,n,,,,,,,,,,,,,,,ø,,
Krake Spawn,Huge,Monstrosity,,Neutral evil,,9,ToB,269,y,n,n,,,,,ø,,,,,,,,ø,,,,
Kraken,Gargantuan,Monstrosity,Titan,Chaotic evil,,23,MM,197,n,y,y,,,,,,,,,,,,,x,,,,
Kraken Hatchling,Huge,Monstrosity,Titan,Chaotic evil,,12,MaDC,106,n,y,n,,,,,,,,,,,,,ø,,,,
Kraken Priest,Medium,Humanoid,Any Race,Any evil,,5,VGtM,215,y,n,n,,,,,x,,,,,,,,x,,,,
Krampus,Medium,Fiend,Shapechanger,Chaotic evil,,17,MaDC,107,y,y,n,,,,ø,,,,,,,,,,,,,
Kraul Death Priest,Medium,Humanoid,Kraul,Neutral evil,,4,GGtR,214,y,n,n,,,,,,,,,,,,ø,,,,,
Kraul Warrior,Medium,Humanoid,Kraul,Neutral evil,,1/2,GGtR,213,n,n,n,,,,,,,,,,,,ø,,,,,
Kruthik Hive Lord,Large,Monstrosity,,Unaligned,,5,MToF,212,n,n,n,,,,,,x,,,,x,,x,,,,,
Kryt,Medium,Humanoid,Kryt,Neutral evil,,5,CC,243,n,n,n,,,,,,,,,,,,,,,,,
Külmking,Large,Undead,,Chaotic evil,,9,CC,244,n,n,n,,,,,,,,,,,,,,,,,
Kuo-toa,Medium,Humanoid,Kuo-Toa,Neutral evil,,1/4,MM,199,n,n,n,,,,,,,,,,,,x,,,,,
Kuo-toa Archpriest,Medium,Humanoid,Kuo-Toa,Neutral evil,,6,MM,200,y,n,n,,,,,,,,,,,,x,,,,,
Kuo-toa Whip,Medium,Humanoid,Kuo-Toa,Neutral evil,,1,MM,200,y,n,n,,,,,,,,,,,,x,,,,,
Kurok-spirit,Large,Fiend,,Chaotic neutral,,1,FEF,159,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Kuunganisha,Small,Fiend,,Any evil,,2,CC,245,n,n,n,,,,,,,,,,,,,,,,,
Lady in White,Medium,Undead,,Any,,2,CC,246,n,n,n,,,,,,,,,,,,,,,,,
Laeral Silverhand,Medium,Humanoid,Human,Chaotic good,,17,WDH,207,y,n,n,,,,,,,,,,,,,,ø,,,
Laestrigonian Giant,Large,Giant,,Chaotic evil,,4,CC,184,n,n,n,,"Multiattack, Bite, Greatclub, Rock",,,,,,,,,,,,,,,
Lake Troll,Large,Giant,,Chaotic evil,,7,ToB,389,n,n,n,,,,,,,ø,ø,ø,,,,,,,,
Lamassu,Large,Celestial,,Lawful good,,10,CC,247,y,y,n,,,,,,,,,,,,,,,,,
Lamia,Large,Monstrosity,,Chaotic evil,,4,MM,201,y,n,n,,,,,,x,,,,,,,,,,,
Land lamprey,Small,Beast,,Unaligned,,1/4,FEF,160,n,n,n,,,,,,,x,x,x,,,x,,,,,
Langdedrosa Cyanwrath,Medium,Humanoid,Half-Dragon,Lawful evil,,4,HotDQ,91,n,n,n,,,,,,,,,,,,,,,,,
Lantern Dragonette,Tiny,Dragon,,Lawful neutral,,1/2,ToB,270,y,n,n,,,,,,,,,,,,,,ø,,,
Latrian Flayer,Medium,Aberration,,Lawful evil,,7,MaDC,108,n,n,n,,,,,,,,,,,,ø,,,,,
Lava child,Medium,Humanoid,Elemental,Neutral,,1,FEF,161,n,n,n,,,,,,,,,,,,x,,,x,,
Lava Child,Medium,Humanoid,Lava Child,Neutral,,3,WDotMM,313,n,n,n,,,,,,,,,,,,ø,,,,,
Lava Weird,Large,Elemental,,Chaotic evil,,4,FEF,244,n,n,n,,,,,,,,,,,,,,,x,,
Lawmage,Medium,Humanoid,Any Race,Lawful neutral,,6,GGtR,228,y,n,n,,,,,,,,,,,,,,ø,,,
Lazav,Medium,Humanoid,Shapechanger,Neutral evil,,17,GGtR,232,y,y,n,,,,,,,,,,,,ø,,ø,,,
Lemure,Medium,Fiend,Devil,Lawful evil,,0,MM,76,n,n,n,,,,,,,,,,,,,,,ø,,
Lemurfolk,Small,Humanoid,,Neutral,,1/4,ToB,271,n,n,n,,,,,,,ø,,,,ø,,,,,,
Lemurfolk Greyfur,Small,Humanoid,,Neutral,,4,ToB,271,y,n,n,,,,,,,ø,,,,ø,,,,,,
Leng spider,Huge,Aberration,,Chaotic evil,,6,FEF,162,y,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Leonin,Medium,Humanoid,Leonin,Any alignment,,1/4,MaDC,110,n,n,n,,,,,ø,ø,,ø,,,,,,,,,
Leonino,Tiny,Beast,,Unaligned,,1/8,CC,250,n,n,n,,,,,x,,x,,,,,,,x,,,
Leshen,Large,Plant,,Lawful evil,,10,MaDC,109,n,n,n,,,,,,,ø,,,,,,,,,,
Leshy,Medium,Monstrosity,,Chaotic neutral,,1,ToB,272,y,n,n,,,,,,,ø,,,,,,,,,,
Lesser Air Elemental,Medium,Elemental,,Neutral,,2,MaDC,37,n,n,n,,,,,,ø,,,,ø,,,,,,,
Lesser Ash Elemental,Medium,Elemental,,Neutral,,2,MaDC,43,n,n,n,,,,,,,,,,ø,,,,,,,
Lesser boneneedle,Small,Beast,,Unaligned,,1/4,FEF,34,n,n,n,,,,,,,,,,,,x,,,,,
Lesser death dog,Medium,Monstrosity,,Neutral evil,,1/2,FEF,77,n,n,n,,,,,,x,,,,,,,,,,,
Lesser Dust Elemental,Medium,Elemental,,Neutral,,2,MaDC,43,n,n,n,,,,,,ø,,,,,,,,,,,
Lesser Earth Elemental,Medium,Elemental,,Neutral,,2,MaDC,37,n,n,n,,,,,,,,,,ø,,,,,,,
Lesser fire crab,Small,Monstrosity,,Unaligned,,1/8,FEF,101,n,n,n,,,,,,,,,,,,,,,x,,
Lesser Fire Elemental,Medium,Elemental,,Neutral,,2,MaDC,38,n,n,n,,,,,,ø,,,,,,,,,,,
Lesser Ice Elemental,Medium,Elemental,,Neutral,,2,MaDC,39,n,n,n,,,,ø,,,,,,,,,,,,,
Lesser Lightning Elemental,Medium,Elemental,,Neutral,,2,MaDC,41,n,n,n,,,,,,ø,,ø,,,,,,,,,
Lesser Magma Elemental,Medium,Elemental,,Neutral,,2,MaDC,39,n,n,n,,,,,,,,,,ø,,ø,,,,,
Lesser Metal Elemental,Medium,Elemental,,Neutral,,2,MaDC,45,n,n,n,,,,,,,,,,,,ø,,,,,
Lesser Mineral Elemental,Medium,Elemental,,Neutral,,2,MaDC,41,n,n,n,,,,,,,,,,ø,,ø,,,,,
Lesser Mud Elemental,Medium,Elemental,,Neutral,,2,MaDC,40,n,n,n,,,,,,,,,,,ø,,,,,,
Lesser Negativ Energy Elemental,Medium,Elemental,,Neutral,,2,MaDC,45,n,n,n,,,,,,,,,,,,,,,ø,,
Lesser Positiv Energy Elemental,Medium,Elemental,,Neutral,,2,MaDC,46,n,n,n,,,,,,,,,,,,,,,ø,,
Lesser Radiance Elemental,Medium,Elemental,,Neutral,,2,MaDC,42,n,n,n,,,,,,,,,,,,,,,ø,,
Lesser Salt Elemental,Medium,Elemental,,Neutral,,2,MaDC,44,n,n,n,,,,,,,,,,ø,,ø,,,,,
Lesser Scrag,Medium,Monstrosity,,Chaotic evil,,2,CC,322,n,n,n,,,,,,,,,,,,,,,,,
Lesser shadow,Medium,Undead,,Chaotic evil,,1/8,FEF,208,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Lesser Smoke Elemental,Medium,Elemental,,Neutral,,2,MaDC,40,n,n,n,,,,,,,,,,ø,,,,,,,
Lesser Steam Elemental,Medium,Elemental,,Neutral,,2,MaDC,42,n,n,n,,,,,ø,,,,,,,,,,,,
Lesser Void Elemental,Medium,Elemental,,Neutral,,2,MaDC,44,n,n,n,,,,,,,,,,,,,,,ø,,
Lesser Water Elemental,Medium,Elemental,,Neutral,,2,MaDC,38,n,n,n,,,,,ø,,,,,,,,ø,,,,
Lesser Wood Elemental,Medium,Elemental,,Neutral,,2,MaDC,46,n,n,n,,,,,,,ø,,,,,,,,,,
Leucrotta,Large,Monstrosity,,Chaotic evil,,3,TftYP,239,n,n,n,,,,,,ø,,ø,,,,,,,,,
Leucrotta,Large,Monstrosity,,Chaotic evil,,3,VGtM,169,n,n,n,,,,,,x,,x,,,,,,,,,
"Leucrotta, adult",Large,Monstrosity,,Chaotic evil,,2,FEF,164,n,n,n,,,,,,x,x,x,x,,x,,,,,,
"Leucrotta, young",Medium,Monstrosity,,Chaotic evil,,1/4,FEF,164,n,n,n,,,,,,x,x,x,x,,x,,,,,,
Leviathan,Gargantuan,Elemental,Elder elemental,Neutral,,20,MToF,198,n,y,n,,,,,x,,,,,,,,x,,,,
"Leviathan, Maw of the Seas",Colossal,Beast,,Neutral,,30,MaDC,125,n,y,n,,,,,,,,,,,,,,,ø,,
Liara Portyr,Medium,Humanoid,Human,Lawful evil,,4,ToA,227,n,n,n,,,,,,,,,,,,,,,,,
Library Automaton,Small,Construct,,Lawful neutral,,1/2,ToB,273,n,n,n,,,,,,,,,,,,,,ø,,,
Lich,Medium,Undead,,Any evil,,21,MM,202,y,y,n,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,,
Lich (in lair),Medium,Undead,,Any evil,,22,MM,202,y,y,y,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,,
Lich Hound,Medium,Undead,,Neutral evil,,4,ToB,274,n,n,n,,,,,,,,,,,,,,,ø,,
Light Cavalry Dragonborn,Medium,Humanoid,Dragonborn,Lawful neutral,,1,CC,124,n,n,n,"Infantry Slayer, Mounted Warrior","Cavalry Saber, Shortbow, Fire Breath",,x,x,x,x,x,x,x,x,x,x,x,,,
Light Dragon Wyrmling,Medium,Dragon,Dragon,Neutral good,,2,CC,113,n,n,y,"Illumination, Incorporeal Movement","Bire, Breath Weapon",,,,,,,,,,,,,,,
Lightning treant,Huge,Plant,,Neutral evil,,6,FEF,231,y,n,n,,,,,,,x,,,,x,,,,,,
Likho,Medium,Monstrosity,,Chaotic evil,,6,ToB,275,y,n,n,,,,,,,,,,,,,,,,,
Lindwurm,Large,Dragon,,Neutral evil,,5,ToB,276,n,n,n,,,,ø,ø,,,,,,,,,,,,
Lion,Large,Beast,,Unaligned,,1,MM,331,n,n,n,,,,,,x,,x,x,x,,,,,,,
Lionwere,Large,Monstrosity,Shapechanger,Chaotic evil,,2,FEF,228,n,n,n,,,,,,x,,x,,,,x,,,,,
Liosalfar,Large,Elemental,,Neutral,,8,ToB,277,y,n,n,,,,,,,,,,,,,,,ø,,
Lithonnite,Large,Monstrosity,,Unaligned,,4,FEF,165,n,n,n,,,,,x,,,,,,x,x,x,,,,
Living Inseen Servant,Medium,Construct,,Unaligned,,0,WDotMM,313,n,n,n,,,,,,,,,,,,ø,,,,,
Living Shade,Medium,Fey,,Neutral,,1/4,CC,255,n,n,n,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Living Spellbook,Large,Construct,,Unaligned,,10,MaDC,111,y,n,n,,,,,,,,,,,,,,ø,,,
Living Star,Huge,Celestial,,Any,,19,CC,256,n,n,n,,,,,,,,,,,,,,,,,
Living Wick,Small,Construct,,Unaligned,,1/4,ToB,278,n,n,n,,,,,,,,,,,,,,ø,,,
Lizard,Tiny,Beast,,Unaligned,,0,MM,332,n,n,n,,,,,ø,,ø,ø,ø,,ø,ø,,,,,
Lizard King/Queen,Medium,Humanoid,Lizardfolk,Chaotic evil,,4,MM,205,n,n,n,,,,,,,x,,,,x,,,,,,
Lizardfolk,Medium,Humanoid,Lizardfolk,Neutral,,1/2,MM,204,n,n,n,,,,,,,x,,,,x,,,,,,
Lizardfolk Monk,Medium,Humanoid,Lizardfolk,Neutral,,2,MaDC,112,n,n,n,,,,,,,ø,,,,ø,,,,,,
Lizardfolk Shaman,Medium,Humanoid,Lizardfolk,Neutral,,2,MM,205,y,n,n,,,,,,,x,,,,x,,,,,,
Lord of Vultures,Large,Fey,"Shapechanger, Animal Lord",Neutral good,,12,CC,26,y,y,n,,,,,,,,,,,,,,,,,
Lord Zombie,Medium,Undead,,Neutral evil,,5,CC,394,n,y,n,,,,,,,,,,,,,,,,,
Lorelei,Medium,Fey,,Chaotic evil,,5,ToB,279,y,n,n,,,,,,,ø,,,,,,,,,,
Lost Minotaur,Large,Undead,Minotaur,Chaotic evil,,8,CC,268,n,n,n,,,,,,,,,,,,,,,,,
Lotus Golem,Large,Construct,,Unaligned,,9,CC,202,n,n,n,,,,,,,,,,,,,,,,,
Lou Carcolth,Medium,Monstrosity,,Unaligned,,2,CC,257,n,n,n,,,,,,,,,,,,,,,,,
Loxoda,Huge,Monstrosity,,Neutral evil,,6,ToB,280,n,n,n,,,,,,,,ø,ø,,,,,,,,
Luck Dragon,Tiny,Dragon,,Unaligned,,1/4,MaDC,113,n,n,n,,,,,,,ø,,ø,,,,,ø,,,
Lunar Devil,Large,Fiend,Devil,Lawful evil,,8,ToB,110,y,n,n,,,,,,,,,,,,,,,ø,,
Lurker,Medium,Monstrosity,,Unaligned,,?,MaDC,114,n,n,n,,,,,,,,,,ø,,ø,,,,,
Lybyrinth Keeper,Large,Monstrosity,Minotaur,Chaotic evil,,5,CC,267,y,n,n,,,,,,,,,,,,,,,,,
Lystrosaurus,Medium,Beast,Dinosaur,Unaligned,,2,CC,108,n,n,n,Headbutt,"Ram, Bite",,,,,,,,,,,,,,,
Madam Eva,Medium,Humanoid,Human,Chaotic neutral,,10,CoS,233,y,n,n,,,,,,,,,,,,,,ø,,,
Maegera The Dawn Titan,Gargantuan,Elemental,,Chaotic neutral,,23,SKT,241,y,y,n,,,,,,,,,,,,,,,,,
Mage,Medium,Humanoid,Any Race,Any alignment,,6,MM,347,y,n,n,,,,,,,,,,,,,,x,,,
Magma Bear,Large,Elemental,,Neutral,,3,MaDC,115,n,n,n,,,,,,,,,,ø,,ø,,,,,
Magma Mephit,Small,Elemental,,Neutral evil,,1/2,MM,216,y,n,n,,,,,,,,,,,,x,,,,,
Magma ooze,Large,Ooze,,Unaligned,,5,FEF,179,n,n,n,,,,,,,,,,x,,x,,,,,
Magmin,Small,Elemental,,Chaotic neutral,,1/2,MM,212,n,n,n,,,,,,,,,,,,,,,ø,,
Magmoid,Large,Elemental,,Unaligned,,4,FEF,166,n,n,n,,,,,,,,,,,,,,,x,,
Mahoru,Large,Monstrosity,,Unaligned,,3,ToB,281,n,n,n,,,,ø,ø,,,,,,,,ø,,,,
Malakbel,Medium,Fiend,Demon,Chaotic evil,,9,ToB,78,n,n,n,,,,,,,,,,,,,,ø,ø,,
Male Steeder,Medium,Monstrosity,,Unaligned,,1/4,MToF,238,n,n,n,,,,,,,,,,,,x,,,,,
Male Steeder,Medium,Beast,,Unaligned,,1/4,OotA,231,n,n,n,,,,,,,,,,,,ø,,,,,
Malformed Kraken,Huge,Monstrosity,,Chaotic evil,,10,TftYP,239,n,n,n,,,,,ø,,,,,,,,ø,,,,
Mallqui,Medium,Undead,,Lawful neutral,,8,ToB,282,y,n,n,,,,,,ø,,,,ø,,,,,,,
Malphas,Medium,Fey,,Neutral evil,,6,ToB,283,y,n,n,,,,,,,,,,,,,,,ø,,
Mammon,Huge,Fiend,Devil,Lawful evil,,25,ToB,99,y,y,y,,,,,,,,,,,,,,,ø,,
Mammoth,Huge,Beast,,Unaligned,,6,MM,332,n,n,n,,,,x,,,,,,,,,,,,,
Mamura,Small,Fey,,Neutral evil,,6,ToB,284,n,n,n,,,,,,,,,,,,,,,,,
Mamura,Small,Aberration,,Neutral evil,,6,ToB,284,n,n,n,,,,,,ø,,ø,,,,,,,,,
Manabane Scarab Swarm,Medium,Beast,Swarm,Unaligned,,4,ToB,374,n,n,n,,,,,,ø,,,,,,,,,,,
Manastorm Golem,Medium,Construct,,Unaligned,,8,CC,203,n,n,n,,,,,,,,,,,,,,,,,
Mandragora,Small,Plant,Fungus,Neutral evil,,1/8,FEF,167,n,n,n,,,,,,,x,,,,,,,,,,
Mandrake,Tiny,Plant,,Unaligned,,1/2,CC,260,n,n,n,,,,,,,,,,,,,,x,,,
Mandriano,Large,Plant,,Lawful evil,,5,CC,261,n,n,n,,,,,,,,,,,,,,,,,
Mandrill,Small,Beast,,Unaligned,,1/8,FEF,168,n,n,n,,,,,,,x,,,,x,,,,,,
Manes,Small,Fiend,Demon,Chaotic evil,,1/8,MM,60,n,n,n,,,,,,,,,,,,,,,ø,,
Manshoon,Medium,Humanoid,Human,Lawful evil,,13,WDH,209,y,n,n,,,,,,,,,,,,,,ø,,,
Mantari,Medium,Monstrosity,,Neutral evil,,1/8,FEF,169,n,n,n,,,,,,,,,,,,x,,,,,
Manticore,Large,Monstrosity,,Lawful evil,,3,MM,213,n,n,n,,,,x,x,,,x,x,x,,,,,,,
"Mantik, Barbed King of the Manticors",Huge,Monstrosity,,Lawful evil,,9,CC,262,n,y,n,,,,,,,,,,,,,,,,,
Mantrap,Large,Plant,,Unaligned,,1,ToA,227,n,n,n,,,,,,,,,,,,,,,,,
Margoyle,Medium,Monstrosity,,Chaotic evil,,5,FEF,116,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Marid,Large,Elemental,,Chaotic neutral,,11,MM,146,y,n,n,,,,,x,,,,,,,,x,,,,
Marilith,Large,Fiend,Demon,Chaotic evil,,16,MM,61,n,n,n,,,,,,,,,,,,,,,ø,,
Marlos Urnrayle,Medium,Monstrosity,,Neutral evil,,8,PotA,199,n,n,n,,,,,,,,,,,,,,,,,
Marlos Urnrayle (with Lair Actions),Medium,Monstrosity,,Neutral evil,,12,PotA,199,n,n,y,,,,,,,,,,,,,,,,,
Martial Arts Adept,Medium,Humanoid,,Any alignment,,3,TftYP,240,n,n,n,,,,,,,,,,,,,,,,,
Martial Arts Adept,Medium,Humanoid,Any Race,Any alignment,,3,VGtM,216,n,n,n,,,,,,,,,,,,,,x,,,
Martial Arts Adept,Medium,Humanoid,Any Race,Any alignment,,3,WDH,209,n,n,n,,,,,,,,,,,,,,ø,,,
Marut,Large,Construct,Inevitable,Lawful neutral,,25,MToF,213,y,n,n,,,,,,,,,,,,,,,ø,,
Mask Wight,Medium,Undead,,Neutral evil,,13,ToB,285,y,n,n,,,,,,ø,,,,,ø,ø,,ø,,,
Masked Killer,Medium,Humanoid,Any race,Chaotic evil,,5,MaDC,116,n,n,n,,,,,,,ø,ø,ø,ø,ø,,,ø,,,
Master Ferrius Ironback,Medium,Humanoid,Human,Lawful neutral,,20,MaDC,117,n,y,n,,,,,,,,,,,,,,ø,,,
Master of Cruelties,Large,Fiend,Demon,Chaotic evil,,9,GGtR,196,y,n,n,,,,,,,,,,,,ø,,ø,ø,,
Master of Demon Mountain,Medium,Humanoid,Tiefling,Lawful evil,,17,CC,264,y,y,n,,,,,,,,,,,,,,,,,
Master of the Five Spires,Medium,Humanoid,,Any lawful,,8,MaDC,123,n,n,n,,,,,,ø,,,,,,,,ø,,,
Master Thief,Medium,Humanoid,Any Race,Any alignment,,5,VGtM,216,n,n,n,,,,,,,,,,,,,,x,,,
Mastiff,Medium,Beast,,Unaligned,,1/8,MM,332,n,n,n,,,,,,,x,,x,,,,,x,,,
Mastodon,Huge,Beast,,Unaligned,,4,FEF,185,n,n,n,,,,x,,,x,x,x,,,,,,,,
Matriarch Serpentine Lamia,Large,Monstrosity,,Neutral evil,,5,CC,249,y,n,n,,,,,,,,,,,,,,,,,
Maurezhi,Medium,Fiend,Demon,Chaotic evil,,7,MToF,133,n,n,n,,,,,,,,,,,x,,,x,ø,,
Mavka,Medium,Fey,,Chaotic evil,,12,ToB,286,y,n,n,,,,,,,,,,,,,,,,,
Mavka,Medium,Undead,,Chaotic evil,,12,ToB,286,y,n,n,,,,,,,,,,,ø,ø,,ø,,,
Maw Demon,Medium,Fiend,Demon,Chaotic evil,,1,VGtM,137,n,n,n,,,,,,,,,,,,x,,,,,
Mbielu,Huge,Beast,Dinosaur,Unaligned,,3,ToB,114,n,n,n,,,,,ø,,,,,,ø,,ø,,,,
Meazel,Medium,Humanoid,Meazel,Neutral evil,,1,MToF,214,n,n,n,,,,,,x,x,x,x,x,x,x,,x,,,
Medusa,Medium,Monstrosity,,Lawful evil,,6,MM,214,n,n,n,,,,,,x,,,,,,,,,,,
Meenlock,Small,Fey,,Neutral evil,,2,VGtM,170,n,n,n,,,,,,,x,,,,x,,,x,,,
Megapede,Large,Aberration,,Unaligned,,3,CC,266,n,n,n,,,,,,,,,,,,,,,,,
Meloon Wardragon,Medium,Humanoid,Human,Neutral evil,,9,WDH,210,n,n,n,,,,,,,,,,,,,,ø,,,
Merfolk,Medium,Humanoid,Merfolk,Neutral,,1/8,MM,218,n,n,n,,,,,x,,,,,,,,x,,,,
Merregon,Medium,Fiend,Devil,Lawful evil,,4,MToF,166,n,n,n,,,,,,,,,,,,,,,ø,,
Merrenoloth,Medium,Fiend,Yugoloth,Neutral evil,,3,MToF,250,y,n,y,,,,,x,,,,,,,,,,ø,,
Merrow,Large,Monstrosity,,Chaotic evil,,2,MM,219,n,n,n,,,,,x,,,,,,,,x,,,,
Metee-Kolen-Ol,Medium,Humanoid,,Chaotic evil,,2,CC,404,y,n,n,,,,,,,,,,,,,,,,,
Mezzoloth,Medium,Fiend,Yugoloth,Neutral evil,,5,MM,313,y,n,n,,,,,,,,,,,,,,,ø,,
Mi-Go,Medium,Plant,,Neutral evil,,5,ToB,287,n,n,n,,,,,,,ø,ø,ø,,,,,,,,
Mi-Go Lord,Large,Aberration,Mi-Go,Lawful evil,,14,MaDC,121,n,n,n,,,,,,,,,,,,,,ø,ø,,
Mi-Go Scientist,Medium,Aberration,Mi-Go,Lawful evil,,6,MaDC,120,n,n,n,,,,,,,,,,,,,,ø,ø,,
Mi-Go Soldier,Medium,Aberration,Mi-Go,Lawful evil,,9,MaDC,120,n,n,n,,,,,,,,,,,,,,ø,ø,,
Mi-Go Spawnling,Small,Aberration,Mi-Go,Lawful evil,,2,MaDC,119,n,n,n,,,,,,,,,,,,,,ø,ø,,
Mi-Go Worker,Medium,Aberration,Mi-Go,Lawful evil,,5,MaDC,119,n,n,n,,,,,,,,,,,,,,ø,ø,,
Michael McHowlett,Medium,Humanoid,"Maraish, shapechanger",Unaligned,,4,MaDC,118,n,n,n,,,,,,,ø,ø,ø,,ø,,,,,,
Midnight Peddler,Medium,Fey,,Neutral,,1/2,FEF,170,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Might Sliver,Large,Monstrosity,Sliver,Unaligned,,2,MaDC,183,n,n,n,,,,,ø,,ø,ø,ø,ø,ø,ø,,,,,
Millitaur,Large,Monstrosity,,Neutral,,3,ToB,288,n,n,n,,,,,,,ø,,,,ø,,,,,,
Mimic,Medium,Monstrosity,Shapechanger,Neutral,,2,MM,220,n,n,n,,,,,,,,,,,,x,,x,,,
"Mimic, Map",Tiny,Aberration,,Neutral,,1/4,ToB,289,n,n,n,,,,,,,,,,,,,,ø,,,
Mind Drinker Vampire,Medium,Undead,,Neutral evil,,4,GGtR,224,y,n,n,,,,,,,,,,,,,,ø,,,
Mind Flayer,Medium,Aberration,,Lawful evil,,7,MM,222,y,n,n,,,,,,,,,,,,x,,,,,
Mind Flayer Arcanist,Medium,Aberration,,Lawful evil,,8,MM,222,n,n,n,,,,,,,,,,,,x,,,,,
Mind Flayer Lich (Illithilich),Medium,Undead,Mindflayer,Any evil,,22,VGtM,172,y,y,n,,,,,,,,,,,,,,,,,
Mind Mage,Medium,Humanoid,Any Race,Neutral evil,,5,GGtR,233,y,n,n,,,,,,,,,,,,ø,,ø,,,
Mindrot Thrall,Medium,Plant,,Neutral,,3,ToB,290,n,n,n,,,,,,,,,,,ø,ø,,ø,,,
Mindwitness,Large,Aberration,,Lawful evil,,5,VGtM,176,n,n,n,,,,,,,,,,,,x,,,,,
Minotaur,Large,Monstrosity,,Chaotic evil,,3,MM,223,n,n,n,,,,,,,,,,,,x,,,,,
Minotaur Skeleton,Large,Undead,,Lawful evil,,2,MM,273,n,n,n,,,,,,,,,,,,x,,,,,
Mirager,Medium,Fey,,Neutral evil,,3,ToB,291,y,n,n,,,,,,ø,,,,,,,,,,,
Miraj Vizann,Medium,Humanoid,Earth Genasi,Neutral evil,,6,PotA,198,y,n,n,,,,,,,,,,,,,,,,,
Miremal,Small,Fey,,Chaotic evil,,1/2,ToB,292,n,n,n,,,,,,,ø,,,,ø,,,,,,
Mirror Hag,Medium,Fey,Hag,Chaotic neutral,,6,ToB,243,y,n,n,,,,,,,ø,,,ø,ø,,,,,,
Mirrorman,Medium,Aberration,,Chaotic neutral,,6,MaDC,122,y,n,n,,,,,,ø,,,,,,,,,,,
